name,position,birthday,nationality,kit
Wojciech Szczesny,Goalkeeper,1990-04-18,Poland,1
Mattia Perin,Goalkeeper,1992-11-10,Italy,37
Gianluigi Buffon,Goalkeeper,1978-01-28,Italy,77
Carlo Pinsoglio,Goalkeeper,1990-03-16,Italy,31
Matthijs de Ligt,Centre-Back,1999-08-12,Netherlands,4
Leonardo Bonucci,Centre-Back,1987-05-01,Italy,19
Daniele Rugani,Centre-Back,1994-07-29,Italy,24
Merih Demiral,Centre-Back,1998-03-05,Turkey,28
Giorgio Chiellini,Centre-Back,1984-08-14,Italy,3
Alex Sandro,Left-Back,1991-01-26,Brazil,12
Danilo,Right-Back,1991-07-15,Brazil,13
Mattia De Sciglio,Right-Back,1992-10-20,Italy,2
Emre Can,Defensive Midfield,1994-01-12,Germany,23
Miralem Pjanic,Central Midfield,1990-04-02,Bosnia-Herzegovina,5
Aaron Ramsey,Central Midfield,1990-12-26,Wales,8
Adrien Rabiot,Central Midfield,1995-04-03,France,25
Rodrigo Bentancur,Central Midfield,1997-06-25,Uruguay,30
Blaise Matuidi,Central Midfield,1987-04-09,France,14
Sami Khedira,Central Midfield,1987-04-04,Germany,6
Cristiano Ronaldo,Left Winger,1985-02-05,Portugal,7
Marko Pjaca,Left Winger,1995-05-06,Croatia,15
Federico Bernardeschi,Right Winger,1994-02-16,Italy,33
Douglas Costa,Right Winger,1990-09-14,Brazil,11
Juan Cuadrado,Right Winger,1988-05-26,Colombia,16
Paulo Dybala,Second Striker,1993-11-15,Argentina,10
Gonzalo Higuaín,Centre-Forward,1987-12-10,Argentina,21
Mario Mandzukic,Centre-Forward,1986-05-21,Croatia,17
